Date,Close,High,Low,Open,Volume
9/27/2000,15.86400032,15.89718861,15.66487061,15.73124718,3542400
9/28/2000,15.86400032,16.06313003,15.83081204,15.89718861,3317900
9/29/2000,16.02994728,16.12951217,15.7976292,16.02994728,3074500
10/2/2000,15.96356773,16.16269748,15.93037944,16.16269748,2161800
10/3/2000,16.06313324,16.19588641,15.89719178,15.99675666,3047300
10/4/2000,15.9303751,16.19588135,15.86399854,16.09631651,2199700
10/5/2000,15.99675941,16.1627009,15.76444133,16.06313601,5717500
10/6/2000,15.86400032,16.09631832,15.63168232,15.86400032,3540600
10/9/2000,15.96356773,15.99675602,15.66487312,15.93037944,2179400
10/10/2000,15.89719391,16.12951198,15.89719391,16.09632369,1944800
10/11/2000,15.9303751,16.16269307,15.89718682,15.9303751,2424100
10/12/2000,15.06748295,15.83081358,14.83516493,15.79762529,5741500
10/13/2000,15.3329916,15.49893307,14.86835549,15.03429696,2707100
10/16/2000,15.39936447,15.63168247,15.29979961,15.63168247,2694800
10/17/2000,14.86836243,15.1338689,14.66923257,15.06749228,4310200
10/18/2000,14.90154457,15.13386264,14.76879139,15.06748605,3077800
10/19/2000,14.80197716,15.33298979,14.63603571,15.33298979,6460600
10/20/2000,15.00110912,15.20023889,14.93473253,15.1338623,5199500
10/23/2000,15.4657402,15.49892849,15.29979879,15.36617535,3610200
10/24/2000,15.4657402,15.73124647,15.29979879,15.56530505,5020500
10/25/2000,15.39936447,15.53211761,15.29979961,15.3329879,4246900
10/26/2000,15.36618042,15.4989336,15.20023895,15.23342724,4074800
10/27/2000,15.79762554,15.79762554,15.23342463,15.23342463,3743900
10/30/2000,16.56095695,16.62733354,15.63168482,15.76443798,5916900
10/31/2000,16.46139336,16.7268997,16.29545189,16.66052311,4047100
11/1/2000,16.79327774,16.82646604,16.26226501,16.3286416,3181300
11/2/2000,16.95922279,16.9924111,16.62733976,16.69371637,3065700
11/3/2000,17.19153976,17.32429297,16.82646846,16.95922166,3794400
11/6/2000,16.99240303,17.12515618,16.82646159,16.99240303,2440600
11/7/2000,16.85965157,17.15834618,16.76008669,16.89283986,2333600
11/8/2000,16.79327774,16.85965433,16.59414796,16.76008944,2728400
11/9/2000,16.85965157,16.92602815,16.56095695,16.7268984,2431100
11/10/2000,17.55659866,17.6561635,16.6273269,16.66051518,6093400
11/13/2000,17.67151451,17.80513655,17.20383738,17.23724289,4603700
11/14/2000,17.87195778,17.90536331,17.53790249,17.67152461,4011100
11/15/2000,17.80514336,18.03898201,17.77173783,17.80514336,3670200
11/16/2000,17.47108459,17.87195078,17.47108459,17.87195078,2587800
11/17/2000,17.87195778,17.87195778,17.37087485,17.37087485,3465000
11/20/2000,17.90535736,18.10579047,17.37086908,17.37086908,3091600
11/21/2000,18.1391964,18.17260191,17.73833018,17.93876329,2471800
11/22/2000,18.30622292,18.40643946,17.80514017,17.80514017,3043000
11/24/2000,18.00557518,18.17260278,17.8719531,17.8719531,1475500
11/27/2000,17.07022858,17.83855589,16.83638983,17.70493375,5253000
11/28/2000,16.70276451,17.13703639,16.50233134,16.90319769,5332000
11/29/2000,17.37087059,17.77173683,16.70276018,16.7361657,5271600
11/30/2000,17.03682137,17.60471541,16.83638817,17.43768775,3794900
12/1/2000,16.53572655,17.1704312,16.36869901,17.1704312,5264000
12/4/2000,16.80298233,16.90319892,16.26849383,16.30189936,2857900
12/5/2000,16.30189514,16.70276142,16.101462,16.70276142,3762800
12/6/2000,15.83421135,16.30188848,15.53356177,16.13486093,4859100
12/7/2000,16.16827393,16.36870707,15.66719106,15.76740763,3239200
12/8/2000,15.76740456,16.10145974,15.36653834,16.0346487,5463100
12/11/2000,16.00124741,16.10146399,15.5001645,15.63378661,12259000
12/12/2000,16.50232124,16.66934879,16.23507717,16.30188819,9798200
12/13/2000,16.63594437,16.83637743,16.33529477,16.63594437,7453800
12/14/2000,16.8697834,16.96999994,16.43551175,16.5691338,5369000
12/15/2000,16.83638382,17.2372501,16.8029783,16.83638382,7806700
12/18/2000,17.27065277,17.40427484,16.93659759,17.03681415,3202600
12/19/2000,17.57130623,17.73833385,17.30406203,17.37087308,4633800
12/20/2000,16.7695713,17.50449276,16.7695713,17.30405963,5257300
12/21/2000,17.47108459,17.47108459,17.00340738,17.07021841,4297600
12/22/2000,17.47108459,17.67151769,17.07021841,17.37086805,3214200
12/26/2000,17.37087059,17.50449267,17.13703195,17.43768163,3365100
12/27/2000,17.70492554,17.70492554,17.17043722,17.27065378,3865600
12/28/2000,18.10579109,18.17260213,17.33746416,17.53789728,3539400
12/29/2000,18.1726017,18.43984584,17.93876308,18.07238515,3338200
1/2/2001,17.90535736,18.07238495,17.63811322,18.07238495,3529800
1/3/2001,18.00557518,18.5400635,17.83854758,17.93876414,3265400
1/4/2001,17.63811684,18.10579418,17.57130579,17.77173893,5953800
1/5/2001,17.604702,17.6381075,17.40426896,17.50448548,3999100
1/8/2001,17.63811684,17.80514446,17.50449474,17.57130579,2803600
1/9/2001,17.67151451,17.77173104,17.40427044,17.40427044,2778100
1/10/2001,17.73833275,17.80514379,17.27065543,17.57130513,3091800
1/11/2001,17.47108459,17.80513975,17.43767908,17.80513975,2179800
1/12/2001,17.97217369,18.13920133,17.40427973,17.60471289,3284200
1/16/2001,18.2394104,18.2394104,17.17043397,17.5044891,4546000
1/17/2001,18.54006386,18.74049698,17.97217001,18.10579209,5223100
1/18/2001,17.97217369,18.33963449,17.97217369,18.23941791,4744500
1/19/2001,17.5378952,17.90535586,17.47108417,17.87195035,5238500
1/22/2001,17.90535736,18.03897943,17.43768012,17.43768012,3267500
1/23/2001,17.57130623,17.90536148,17.43768413,17.90536148,3290600
1/24/2001,16.46892166,17.17043759,16.2016775,17.03681551,11006600
1/25/2001,15.80080795,16.63594579,15.09929217,16.46891823,20823700
1/26/2001,15.50015831,16.00124101,15.39994177,15.76740242,9631400
1/29/2001,15.77809238,15.87964441,14.96567005,15.60705632,8501700
1/30/2001,15.74068356,15.78878759,15.56430243,15.76740757,5582200
1/31/2001,15.68723202,15.76206005,15.4734369,15.63378298,7850300
2/1/2001,15.5161953,15.9010265,15.47878026,15.76740442,6946800
2/2/2001,15.72999573,15.77275476,15.4787855,15.53223455,5769700
2/5/2001,15.69258213,15.78344521,15.58033902,15.63378807,4410000
2/6/2001,16.05068207,16.30189117,15.63912588,15.64447089,6791300
2/7/2001,15.64447117,16.1629244,15.60171215,16.03999235,6112900
2/8/2001,15.68188953,15.85827066,15.47343939,15.72464856,6959000
2/9/2001,15.90637875,16.08810493,15.6498245,15.67654852,3406200
2/12/2001,15.94379425,16.16827949,15.84758614,15.90638021,3865500
2/13/2001,16.03464508,16.22171614,15.88498803,15.98119606,5234600
2/14/2001,15.63378048,16.56913487,15.57498645,16.56913487,4888600
2/15/2001,16.07740784,16.12551186,15.63378259,15.65516261,7087000
2/16/2001,16.15223122,16.27516426,15.95447118,16.03464419,4590500
2/20/2001,16.26982307,16.48361818,16.07206197,16.07206197,3712700
2/21/2001,15.86361122,16.48896251,15.82619721,16.16292435,4261100
2/22/2001,16.06671906,16.22172116,15.82085491,15.84757892,4020300
2/23/2001,16.09879112,16.29655126,16.00792805,16.08810111,4653000
2/26/2001,15.97050858,16.14154567,15.90102555,16.06137162,2763600
2/27/2001,16.06137466,16.12551372,15.87964854,16.05068567,3666300
2/28/2001,15.7139616,16.0346549,15.50016641,16.0346549,4582200
3/1/2001,15.61240578,15.75671789,15.4948187,15.52154373,4732100
3/2/2001,15.41999149,15.61240664,15.28636938,15.61240664,4924700
3/5/2001,15.26498318,15.32912221,15.21153415,15.2863632,2781400
3/6/2001,15.41999149,15.45206051,14.88550306,15.01912517,5627300
3/7/2001,15.17946529,15.47877841,15.02446424,15.4199854,3803700
3/8/2001,15.66050625,15.66050625,15.05653494,15.07256995,4038800
3/9/2001,15.47344017,15.68723533,15.29705903,15.6605103,3745400
3/12/2001,14.99773979,15.31308794,14.92825677,15.31308794,4978100
3/13/2001,14.85877609,14.98170919,14.50601385,14.83205208,8211200
3/14/2001,14.72515678,15.01912605,14.05170222,14.0570462,9960400
3/15/2001,14.55946255,14.59687657,14.18532131,14.59153156,5756500
